,ARRIVAL DATE,ARRIVAL TIME (if avail),TERMINAL,SHIP NAME,LAST PORT OF CALL (if avail),PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL, Incoming (Multiply metric tons by 7.5 for approx bbls)","PRODUCT AMOUNT - OIL, Outgoing",RUNNING TOTAL,PRODUCT TYPE - NON-OIL,"PRODUCT AMOUNT - NON OIL, Incoming","PRODUCT AMOUNT - NON OIL, Outgoing",Running Total (Specify units),Year,Month,Day
0,2020-01-02,,Citgo,New England,St.John,23 - Unleaded Gasoline,80000.0,0.0,80000.0,,,,,2020,1,2
1,2020-01-02,,Citgo,New England,St.John,28 - Premium Unleaded Gasoline,20000.0,0.0,100000.0,,,,,2020,1,2
2,2020-01-02,,Citgo,New England,St.John,29 - Diesel (aka ULSD),22000.0,0.0,122000.0,,,,,2020,1,2
3,2020-01-02,,Citgo,New England,St.John,23 - Unleaded Gasoline,60000.0,0.0,182000.0,,,,,2020,1,2
4,2020-01-02,,Citgo,New England,St.John,23 - Unleaded Gasoline,20000.0,0.0,202000.0,,,,,2020,1,2
5,2020-01-02,,Citgo,New England,St.John,29 - Diesel (aka ULSD),20000.0,0.0,222000.0,,,,,2020,1,2
6,2020-01-05,,Buckeye,Noreaster,St.John,23 - Unleaded Gasoline,10000.0,0.0,232000.0,,,,,2020,1,5
7,2020-01-05,,Buckeye,Noreaster,St.John,23 - Unleaded Gasoline,40000.0,0.0,272000.0,,,,,2020,1,5
8,2020-01-05,,Buckeye,Noreaster,St.John,29 - Diesel (aka ULSD),16000.0,0.0,288000.0,,,,,2020,1,5
9,2020-01-05,,Buckeye,Noreaster,St.John,"02 - #2 Fuel Oil (aka FO, MGO, DMA)",35000.0,0.0,323000.0,,,,,2020,1,5
10,2020-01-06,,Citgo,Noreaster,St.John,29 - Diesel (aka ULSD),35000.0,0.0,358000.0,,,,,2020,1,6
11,2020-01-06,,Citgo,Noreaster,St.John,23 - Unleaded Gasoline,114000.0,0.0,472000.0,,,,,2020,1,6
